country_mb,artist,listeners
,Phoenix,2030349
Afghanistan,Adam,23540
Albania,The King,14046
Algeria,Khaled,179375
Andorra,Anonymous,134724
Angola,Bonga,55981
Anguilla,Luba,7372
Antarctica,Nunatak,2708
Antigua and Barbuda,Au/Ra,83188
Argentina,Gustavo Santaolalla,407634
Armenia,Արամ Խաչատրյան,189023
Australia,AC/DC,2691018
Austria,Wolfgang Amadeus Mozart,1583838
Azerbaijan,Alihan Samedov,36144
Bahamas,Baha Men,232134
Bahrain,Osiris,6815
Bangladesh,Black,260367
Barbados,Shontelle,460620
Belarus,Alter Ego,225165
Belgium,Hooverphonic,996769
Belize,The Professionals,32430
Benin,Lionel Loueke,19289
Bermuda,Heather Nova,387540
Bhutan,Jigme Drukpa,771
Bolivia,Anima,42783
Bosnia and Herzegovina,Dubioza Kolektiv,48061
Botswana,Afro Blue,4656
Brazil,Sepultura,886301
British Virgin Islands,Iyaz,704826
Brunei,Micbandits,56
Bulgaria,Miro,93101
Burkina Faso,Victor Démé,21111
Burundi,Khadja Nin,31495
Cambodia,Ros Sereysothea,15126
Cameroon,Manu Dibango,133436
Canada,Drake,3379644
Cape Verde,Cesária Évora,319733
Cayman Islands,Barefoot Man,570
Central African Republic,Pygmées AKA,397
Chad,Maître Gazonga,423
Chile,Luciano,158700
China,ZHU,447397
Colombia,Shakira,2346168
Comoros,Nawal,10314
Congo,Assassin,67022
Costa Rica,Patterns,44241
Croatia,2cellos,161692
Cuba,Buena Vista Social Club,663663
Cyprus,Ivi Adamou,48535
Czech Republic,Antonín Dvořák,699074
Czechoslovakia,The Matadors,13063
Democratic Republic of the Congo,Konono Nº1,53028
Denmark,Jet,1754155
Dominica,Nasio Fontaine,12582
Dominican Republic,Juan Luis Guerra,212983
East Germany,Passion,98677
Ecuador,Nicola Cruz,44188
Egypt,Aly & Fila,136371
El Salvador,Icarus,93378
Equatorial Guinea,Afrika,1971
Eritrea,Asmara All Stars,1876
Estonia,Arvo Pärt,401126
Ethiopia,Mulatu Astatke,202200
Europe,OST,181837
Faroe Islands,Teitur,259321
Fiji,Jasmine,30130
Finland,Nightwish,1360111
France,Daft Punk,3782404
Gabon,Seba,91443
Gambia,Super Eagles,16183
Georgia,Willow,152300
Germany,Ludwig van Beethoven,1836822
Ghana,Blitz,99574
Gibraltar,Taxi,65352
Greece,Phoenix,2030349
Greenland,DDR,53651
Grenada,Mighty Sparrow,26305
Guatemala,Ricardo Arjona,248154
Guernsey,Earthcorpse,1970
Guinea,Mory Kanté,75878
Guinea-Bissau,Eneida Marta,15709
Guyana,Natural Black,77207
Haiti,Ram,73475
Honduras,Delirium,39763
Hungary,Franz Liszt,708641
Iceland,Björk,2192935
India,A.R. Rahman,383166
Indonesia,Desire,299694
Iran,Armik,122782
Iraq,Gilgamesh,13486
Ireland,U2,3487345
Isle of Man,Back Door Slam,20483
Israel,Passenger,928517
Italy,Phoenix,2030349
Ivory Coast,Alpha Blondy,248226
Jamaica,Bob Marley & The Wailers,1921015
Japan,Pink,812836
Jersey,Guru Josh Project,417863
Jordan,Lobo,140243
Kazakhstan,Jah Khalib,41504
Kenya,501,100527
Kosovo,Era Istrefi,104142
